	GEN16	district	party	femaleis1	19
725	1.0	DAD	REP	0	4
726	1.0	HIL	DEM	1	5
727	0.0	HIL	NPA	0	3
728	1.0	HIL	REP	0	5
729	1.0	ESC	NPA	1	5
730	1.0	DUV	REP	0	2
731	1.0	DAD	DEM	1	5
732	1.0	ORA	NPA	1	5
733	1.0	LAK	REP	1	5
734	1.0	LAK	REP	0	5
735	1.0	HIL	NPA	1	5
736	1.0	MRT	NPA	1	5
737	1.0	PIN	NPA	1	5
738	1.0	POL	REP	1	5
739	1.0	CIT	REP	1	5
740	1.0	POL	REP	0	4
741	0.0	HIL	NPA	0	5
742	1.0	LEE	REP	1	2
743	1.0	MRN	NPA	0	3
744	1.0	PAL	NPA	1	5
745	1.0	PIN	NPA	0	5
746	0.0	MON	NPA	0	3
747	1.0	ORA	DEM	1	3
748	1.0	DAD	DEM	0	4
749	0.0	DAD	NPA	1	4
750	0.0	DUV	REP	0	5
751	1.0	DAD	NPA	1	4
752	0.0	DAD	NPA	1	5
753	1.0	CIT	DEM	1	5
754	1.0	ORA	REP	1	5
755	1.0	BRO	DEM	0	3
756	1.0	VOL	REP	1	5
757	1.0	CHA	REP	1	5
758	1.0	LEE	NPA	1	5
759	1.0	HIG	DEM	1	5
760	1.0	DUV	REP	1	5
761	1.0	DAD	NPA	0	9
762	1.0	ESC	REP	1	2
763	1.0	MAN	NPA	0	5
764	1.0	SAN	DEM	0	5
765	1.0	MRT	REP	0	5
766	1.0	BRO	REP	1	5
767	1.0	ORA	NPA	0	4
768	1.0	ORA	DEM	1	9
769	0.0	ESC	REP	1	5
770	1.0	HIL	DEM	1	3
771	1.0	PAS	NPA	0	5
772	1.0	LEE	REP	1	5
773	1.0	BRE	REP	1	5
774	1.0	LEE	REP	0	5
775	1.0	DAD	DEM	1	4
776	1.0	POL	REP	0	5
777	1.0	ALA	REP	1	5
778	0.0	DUV	NPA	0	9
779	1.0	PAL	DEM	1	5
780	0.0	PAS	NPA	0	5
781	1.0	DUV	REP	0	5
782	1.0	MRN	REP	0	5
783	1.0	PAL	DEM	1	4
784	1.0	MRT	DEM	1	3
785	1.0	PAL	NPA	0	5
786	1.0	HIL	REP	1	4
787	1.0	CIT	NPA	0	6
788	1.0	SEM	REP	0	5
789	1.0	HIL	DEM	1	4
790	1.0	HIL	DEM	1	3
791	1.0	BRO	DEM	1	5
792	1.0	DAD	DEM	1	4
793	1.0	BRO	DEM	0	5
